parameter,value,lower_bound,upper_bound,unit,status
Hemoglobin,14.55,13.0,17.0,g/dL,Normal
Hemoglobin,16.62,13.0,17.0,g/dL,Normal
Hemoglobin,15.84,13.0,17.0,g/dL,Normal
Hemoglobin,15.36,13.0,17.0,g/dL,Normal
Hemoglobin,13.76,13.0,17.0,g/dL,Normal
Hemoglobin,13.76,13.0,17.0,g/dL,Normal
Hemoglobin,13.41,13.0,17.0,g/dL,Normal
Hemoglobin,16.32,13.0,17.0,g/dL,Normal
Hemoglobin,15.36,13.0,17.0,g/dL,Normal
Hemoglobin,15.75,13.0,17.0,g/dL,Normal
Hemoglobin,13.27,13.0,17.0,g/dL,Normal
Hemoglobin,16.69,13.0,17.0,g/dL,Normal
Hemoglobin,16.2,13.0,17.0,g/dL,Normal
Hemoglobin,13.96,13.0,17.0,g/dL,Normal
Hemoglobin,13.85,13.0,17.0,g/dL,Normal
Hemoglobin,13.86,13.0,17.0,g/dL,Normal
Hemoglobin,14.3,13.0,17.0,g/dL,Normal
Hemoglobin,15.09,13.0,17.0,g/dL,Normal
Hemoglobin,14.76,13.0,17.0,g/dL,Normal
Hemoglobin,14.25,13.0,17.0,g/dL,Normal
Hemoglobin,15.4,13.0,17.0,g/dL,Normal
Hemoglobin,13.7,13.0,17.0,g/dL,Normal
Hemoglobin,14.25,13.0,17.0,g/dL,Normal
Hemoglobin,14.52,13.0,17.0,g/dL,Normal
Hemoglobin,14.84,13.0,17.0,g/dL,Normal
Hemoglobin,16.03,13.0,17.0,g/dL,Normal
Hemoglobin,13.92,13.0,17.0,g/dL,Normal
Hemoglobin,15.05,13.0,17.0,g/dL,Normal
Hemoglobin,15.33,13.0,17.0,g/dL,Normal
Hemoglobin,13.37,13.0,17.0,g/dL,Normal
Hemoglobin,15.39,13.0,17.0,g/dL,Normal
Hemoglobin,13.81,13.0,17.0,g/dL,Normal
Hemoglobin,13.43,13.0,17.0,g/dL,Normal
Hemoglobin,16.62,13.0,17.0,g/dL,Normal
Hemoglobin,16.68,13.0,17.0,g/dL,Normal
Hemoglobin,16.11,13.0,17.0,g/dL,Normal
Hemoglobin,14.3,13.0,17.0,g/dL,Normal
Hemoglobin,13.55,13.0,17.0,g/dL,Normal
Hemoglobin,15.66,13.0,17.0,g/dL,Normal
Hemoglobin,14.78,13.0,17.0,g/dL,Normal
Hemoglobin,13.64,13.0,17.0,g/dL,Normal
Hemoglobin,14.98,13.0,17.0,g/dL,Normal
Hemoglobin,13.32,13.0,17.0,g/dL,Normal
Hemoglobin,16.47,13.0,17.0,g/dL,Normal
Hemoglobin,14.13,13.0,17.0,g/dL,Normal
Hemoglobin,15.59,13.0,17.0,g/dL,Normal
Hemoglobin,14.32,13.0,17.0,g/dL,Normal
Hemoglobin,15.07,13.0,17.0,g/dL,Normal
Hemoglobin,15.17,13.0,17.0,g/dL,Normal
Hemoglobin,13.87,13.0,17.0,g/dL,Normal
Hemoglobin,16.69,13.0,17.0,g/dL,Normal
Hemoglobin,15.99,13.0,17.0,g/dL,Normal
Hemoglobin,16.58,13.0,17.0,g/dL,Normal
Hemoglobin,16.42,13.0,17.0,g/dL,Normal
Hemoglobin,15.35,13.0,17.0,g/dL,Normal
Hemoglobin,16.52,13.0,17.0,g/dL,Normal
Hemoglobin,13.52,13.0,17.0,g/dL,Normal
Hemoglobin,13.91,13.0,17.0,g/dL,Normal
Hemoglobin,13.36,13.0,17.0,g/dL,Normal
Hemoglobin,14.37,13.0,17.0,g/dL,Normal
Hemoglobin,14.6,13.0,17.0,g/dL,Normal
Hemoglobin,14.18,13.0,17.0,g/dL,Normal
Hemoglobin,16.18,13.0,17.0,g/dL,Normal
Hemoglobin,14.48,13.0,17.0,g/dL,Normal
Hemoglobin,14.21,13.0,17.0,g/dL,Normal
Hemoglobin,15.15,13.0,17.0,g/dL,Normal
Hemoglobin,13.71,13.0,17.0,g/dL,Normal
Hemoglobin,16.09,13.0,17.0,g/dL,Normal
Hemoglobin,13.47,13.0,17.0,g/dL,Normal
Hemoglobin,16.75,13.0,17.0,g/dL,Normal
Hemoglobin,15.98,13.0,17.0,g/dL,Normal
Hemoglobin,13.92,13.0,17.0,g/dL,Normal
Hemoglobin,13.22,13.0,17.0,g/dL,Normal
Hemoglobin,16.14,13.0,17.0,g/dL,Normal
Hemoglobin,15.74,13.0,17.0,g/dL,Normal
Hemoglobin,15.82,13.0,17.0,g/dL,Normal
Hemoglobin,15.98,13.0,17.0,g/dL,Normal
Hemoglobin,13.47,13.0,17.0,g/dL,Normal
Hemoglobin,14.49,13.0,17.0,g/dL,Normal
Hemoglobin,13.62,13.0,17.0,g/dL,Normal
Hemoglobin,16.31,13.0,17.0,g/dL,Normal
Hemoglobin,15.44,13.0,17.0,g/dL,Normal
Hemoglobin,14.39,13.0,17.0,g/dL,Normal
Hemoglobin,13.43,13.0,17.0,g/dL,Normal
Hemoglobin,14.32,13.0,17.0,g/dL,Normal
Hemoglobin,14.37,13.0,17.0,g/dL,Normal
Hemoglobin,15.83,13.0,17.0,g/dL,Normal
Hemoglobin,15.5,13.0,17.0,g/dL,Normal
Hemoglobin,16.39,13.0,17.0,g/dL,Normal
Hemoglobin,14.9,13.0,17.0,g/dL,Normal
Hemoglobin,13.63,13.0,17.0,g/dL,Normal
Hemoglobin,15.77,13.0,17.0,g/dL,Normal
Hemoglobin,15.94,13.0,17.0,g/dL,Normal
Hemoglobin,15.22,13.0,17.0,g/dL,Normal
Hemoglobin,15.98,13.0,17.0,g/dL,Normal
Hemoglobin,14.98,13.0,17.0,g/dL,Normal
Hemoglobin,15.08,13.0,17.0,g/dL,Normal
Hemoglobin,14.74,13.0,17.0,g/dL,Normal
Hemoglobin,13.29,13.0,17.0,g/dL,Normal
Hemoglobin,13.59,13.0,17.0,g/dL,Normal
Hemoglobin,13.31,13.0,17.0,g/dL,Normal
Hemoglobin,15.49,13.0,17.0,g/dL,Normal
Hemoglobin,14.33,13.0,17.0,g/dL,Normal
Hemoglobin,15.03,13.0,17.0,g/dL,Normal
Hemoglobin,16.47,13.0,17.0,g/dL,Normal
Hemoglobin,14.1,13.0,17.0,g/dL,Normal
Hemoglobin,14.68,13.0,17.0,g/dL,Normal
Hemoglobin,15.92,13.0,17.0,g/dL,Normal
Hemoglobin,14.02,13.0,17.0,g/dL,Normal
Hemoglobin,13.48,13.0,17.0,g/dL,Normal
Hemoglobin,14.24,13.0,17.0,g/dL,Normal
Hemoglobin,13.78,13.0,17.0,g/dL,Normal
Hemoglobin,16.55,13.0,17.0,g/dL,Normal
Hemoglobin,16.11,13.0,17.0,g/dL,Normal
Hemoglobin,15.48,13.0,17.0,g/dL,Normal
Hemoglobin,16.34,13.0,17.0,g/dL,Normal
Hemoglobin,16.09,13.0,17.0,g/dL,Normal
Hemoglobin,13.87,13.0,17.0,g/dL,Normal
Hemoglobin,16.41,13.0,17.0,g/dL,Normal
Hemoglobin,15.14,13.0,17.0,g/dL,Normal
Hemoglobin,12.92,13.0,17.0,g/dL,Borderline
Hemoglobin,12.29,13.0,17.0,g/dL,Borderline
Hemoglobin,12.54,13.0,17.0,g/dL,Borderline
Hemoglobin,12.89,13.0,17.0,g/dL,Borderline
Hemoglobin,12.61,13.0,17.0,g/dL,Borderline
Hemoglobin,12.38,13.0,17.0,g/dL,Borderline
Hemoglobin,12.47,13.0,17.0,g/dL,Borderline
Hemoglobin,12.46,13.0,17.0,g/dL,Borderline
Hemoglobin,12.76,13.0,17.0,g/dL,Borderline
Hemoglobin,12.98,13.0,17.0,g/dL,Borderline
Hemoglobin,12.4,13.0,17.0,g/dL,Borderline
Hemoglobin,12.44,13.0,17.0,g/dL,Borderline
Hemoglobin,12.23,13.0,17.0,g/dL,Borderline
Hemoglobin,12.6,13.0,17.0,g/dL,Borderline
Hemoglobin,12.42,13.0,17.0,g/dL,Borderline
Hemoglobin,12.39,13.0,17.0,g/dL,Borderline
Hemoglobin,12.59,13.0,17.0,g/dL,Borderline
Hemoglobin,12.39,13.0,17.0,g/dL,Borderline
Hemoglobin,12.81,13.0,17.0,g/dL,Borderline
Hemoglobin,12.78,13.0,17.0,g/dL,Borderline
Hemoglobin,12.71,13.0,17.0,g/dL,Borderline
Hemoglobin,12.63,13.0,17.0,g/dL,Borderline
Hemoglobin,12.87,13.0,17.0,g/dL,Borderline
Hemoglobin,12.35,13.0,17.0,g/dL,Borderline
Hemoglobin,12.67,13.0,17.0,g/dL,Borderline
Hemoglobin,12.21,13.0,17.0,g/dL,Borderline
Hemoglobin,12.38,13.0,17.0,g/dL,Borderline
Hemoglobin,12.34,13.0,17.0,g/dL,Borderline
Hemoglobin,12.51,13.0,17.0,g/dL,Borderline
Hemoglobin,12.31,13.0,17.0,g/dL,Borderline
Hemoglobin,12.29,13.0,17.0,g/dL,Borderline
Hemoglobin,12.9,13.0,17.0,g/dL,Borderline
Hemoglobin,12.73,13.0,17.0,g/dL,Borderline
Hemoglobin,12.64,13.0,17.0,g/dL,Borderline
Hemoglobin,12.39,13.0,17.0,g/dL,Borderline
Hemoglobin,12.92,13.0,17.0,g/dL,Borderline
Hemoglobin,12.71,13.0,17.0,g/dL,Borderline
Hemoglobin,12.48,13.0,17.0,g/dL,Borderline
Hemoglobin,12.92,13.0,17.0,g/dL,Borderline
Hemoglobin,12.82,13.0,17.0,g/dL,Borderline
Hemoglobin,12.27,13.0,17.0,g/dL,Borderline
Hemoglobin,12.92,13.0,17.0,g/dL,Borderline
Hemoglobin,12.21,13.0,17.0,g/dL,Borderline
Hemoglobin,12.73,13.0,17.0,g/dL,Borderline
Hemoglobin,12.33,13.0,17.0,g/dL,Borderline
Hemoglobin,12.75,13.0,17.0,g/dL,Borderline
Hemoglobin,12.38,13.0,17.0,g/dL,Borderline
Hemoglobin,12.39,13.0,17.0,g/dL,Borderline
Hemoglobin,12.8,13.0,17.0,g/dL,Borderline
Hemoglobin,12.88,13.0,17.0,g/dL,Borderline
Hemoglobin,11.31,13.0,17.0,g/dL,Critical
Hemoglobin,10.92,13.0,17.0,g/dL,Critical
Hemoglobin,10.68,13.0,17.0,g/dL,Critical
Hemoglobin,10.97,13.0,17.0,g/dL,Critical
Hemoglobin,11.44,13.0,17.0,g/dL,Critical
Hemoglobin,11.19,13.0,17.0,g/dL,Critical
Hemoglobin,11.17,13.0,17.0,g/dL,Critical
Hemoglobin,11.62,13.0,17.0,g/dL,Critical
Hemoglobin,10.25,13.0,17.0,g/dL,Critical
Hemoglobin,10.55,13.0,17.0,g/dL,Critical
Hemoglobin,12.07,13.0,17.0,g/dL,Critical
Hemoglobin,10.93,13.0,17.0,g/dL,Critical
Hemoglobin,12.02,13.0,17.0,g/dL,Critical
Hemoglobin,12.09,13.0,17.0,g/dL,Critical
Hemoglobin,11.87,13.0,17.0,g/dL,Critical
Hemoglobin,10.95,13.0,17.0,g/dL,Critical
Hemoglobin,10.82,13.0,17.0,g/dL,Critical
Hemoglobin,11.29,13.0,17.0,g/dL,Critical
Hemoglobin,11.56,13.0,17.0,g/dL,Critical
Hemoglobin,10.39,13.0,17.0,g/dL,Critical
Hemoglobin,12.14,13.0,17.0,g/dL,Critical
Hemoglobin,11.22,13.0,17.0,g/dL,Critical
Hemoglobin,11.65,13.0,17.0,g/dL,Critical
Hemoglobin,11.58,13.0,17.0,g/dL,Critical
Hemoglobin,10.78,13.0,17.0,g/dL,Critical
Hemoglobin,11.79,13.0,17.0,g/dL,Critical
Hemoglobin,11.99,13.0,17.0,g/dL,Critical
Hemoglobin,11.18,13.0,17.0,g/dL,Critical
Hemoglobin,11.47,13.0,17.0,g/dL,Critical
Hemoglobin,11.76,13.0,17.0,g/dL,Critical
Fasting Glucose,94.68,70.0,99.0,mg/dL,Normal
Fasting Glucose,80.27,70.0,99.0,mg/dL,Normal
Fasting Glucose,81.25,70.0,99.0,mg/dL,Normal
Fasting Glucose,73.9,70.0,99.0,mg/dL,Normal
Fasting Glucose,86.54,70.0,99.0,mg/dL,Normal
Fasting Glucose,72.39,70.0,99.0,mg/dL,Normal
Fasting Glucose,83.6,70.0,99.0,mg/dL,Normal
Fasting Glucose,85.61,70.0,99.0,mg/dL,Normal
Fasting Glucose,78.93,70.0,99.0,mg/dL,Normal
Fasting Glucose,86.87,70.0,99.0,mg/dL,Normal
Fasting Glucose,72.25,70.0,99.0,mg/dL,Normal
Fasting Glucose,72.42,70.0,99.0,mg/dL,Normal
Fasting Glucose,92.92,70.0,99.0,mg/dL,Normal
Fasting Glucose,80.85,70.0,99.0,mg/dL,Normal
Fasting Glucose,74.77,70.0,99.0,mg/dL,Normal
Fasting Glucose,85.08,70.0,99.0,mg/dL,Normal
Fasting Glucose,91.55,70.0,99.0,mg/dL,Normal
Fasting Glucose,77.08,70.0,99.0,mg/dL,Normal
Fasting Glucose,87.71,70.0,99.0,mg/dL,Normal
Fasting Glucose,73.68,70.0,99.0,mg/dL,Normal
Fasting Glucose,72.8,70.0,99.0,mg/dL,Normal
Fasting Glucose,85.32,70.0,99.0,mg/dL,Normal
Fasting Glucose,85.56,70.0,99.0,mg/dL,Normal
Fasting Glucose,88.09,70.0,99.0,mg/dL,Normal
Fasting Glucose,90.4,70.0,99.0,mg/dL,Normal
Fasting Glucose,96.92,70.0,99.0,mg/dL,Normal
Fasting Glucose,84.93,70.0,99.0,mg/dL,Normal
Fasting Glucose,79.88,70.0,99.0,mg/dL,Normal
Fasting Glucose,92.2,70.0,99.0,mg/dL,Normal
Fasting Glucose,78.52,70.0,99.0,mg/dL,Normal
Fasting Glucose,82.91,70.0,99.0,mg/dL,Normal
Fasting Glucose,73.5,70.0,99.0,mg/dL,Normal
Fasting Glucose,72.11,70.0,99.0,mg/dL,Normal
Fasting Glucose,96.58,70.0,99.0,mg/dL,Normal
Fasting Glucose,93.27,70.0,99.0,mg/dL,Normal
Fasting Glucose,89.61,70.0,99.0,mg/dL,Normal
Fasting Glucose,82.12,70.0,99.0,mg/dL,Normal
